,date,name,type,SecuCode,SecuCategory,ListedState
15447,2021-12-17,荣盛石化,update,002493,1.0,1.0
15452,2021-09-07,莱克电气,update,603355,1.0,1.0
15453,2021-12-16,蓝色光标,update,300058,1.0,1.0
15469,2021-01-19 00:00:00,虹新能源,update,,,
15471,2021-12-17,行动教育,update,605098,1.0,1.0
15472,2021-08-12,裕兴股份,update,300305,1.0,1.0
15485,2021-07-19 00:00:00,西部矿业,update,601168,1.0,1.0
15474,2021-07-07 00:00:00,西部矿业,update,601168,1.0,1.0
15495,2021-01-08 00:00:00,西麦食品,update,002956,1.0,1.0
15496,2021-12-16,西麦食品,update,002956,1.0,1.0
14568,2021-12-16,视觉中国,update,000681,1.0,1.0
15497,2021-08-18 00:00:00,诺唯赞,update,688105,1.0,1.0
15498,2021-03-09,贝仕达克,update,300822,1.0,1.0
15499,2021-12-17,赛意信息,update,300687,1.0,1.0
15501,2021-08-20,赛特新材,update,688398,1.0,1.0
15503,2021-12-17,赛特新材,update,688398,1.0,1.0
15504,2021-04-27 00:00:00,赛轮轮胎,update,,,
15505,2021-08-16,赞宇科技,update,002637,1.0,1.0
15506,2021-04-15,达利食品,update,,,
15507,2021-12-15,达利食品,update,,,
15508,2021-04-28,迈瑞医疗,update,300760,1.0,1.0
15509,2021-02-23 00:00:00,远兴能源,update,000683,1.0,1.0
15511,2021-12-16,远洋服务,update,,,
15512,2021-12-15,迪普科技,update,300768,1.0,1.0
15540,2021-01-19 00:00:00,邮储银行,update,601658,1.0,1.0
15576,2021-07-06 00:00:00,邮储银行,update,601658,1.0,1.0
15992,2021-11-05,重庆银行,update,601963,1.0,1.0
16258,2021-12-16,金地集团,update,600383,1.0,1.0
16310,2021-12-21,金田铜业,update,601609,1.0,1.0
16311,2021-12-17,金科服务,update,,,
16312,2021-09-01,金科股份,update,000656,1.0,1.0
16313,2021-12-17,金科股份,update,000656,1.0,1.0
16314,2021-03-22,金能科技,update,603113,1.0,1.0
16315,2021-06-25,金能科技,update,603113,1.0,1.0
16317,2021-12-16,长江电力,update,600900,1.0,1.0
16316,2021-03-12,长江电力,update,600900,1.0,1.0
16319,2021-08-29,长阳科技,update,688299,1.0,1.0
16320,2021-12-16,长高集团,update,002452,1.0,1.0
16321,2021-01-20 00:00:00,闻泰科技,update,600745,1.0,1.0
16322,2021-02-19,陕西煤业,update,601225,1.0,1.0
16325,2021-06-24,陕西煤业,update,601225,1.0,1.0
16328,2021-12-16,陕西煤业,update,601225,1.0,1.0
16331,2021-12-17,隆平高科,update,000998,1.0,1.0
16332,2021-04-27 00:00:00,震安科技,update,300767,1.0,1.0
16334,2021-02-22,震有科技,update,688418,1.0,1.0
16335,2021-12-17,靖远煤电,update,000552,1.0,1.0
16337,2021-12-23,顺丰控股,update,002352,1.0,1.0
16336,2021-04-16 00:00:00,顺丰控股,update,002352,1.0,1.0
16338,2021-12-17,顺网科技,update,300113,1.0,1.0
16339,2021-08-28,香飘飘,update,603711,1.0,1.0
16340,2021-12-17,高德红外,update,002414,1.0,1.0
16341,2021-12-17,高能环境,update,603588,1.0,1.0
16344,2021-09-07 00:00:00,鲁北化工,update,600727,1.0,1.0
16345,2021-12-16 00:00:00,鹤小范围,update,,,
16346,2021-08-24,龙佰集团,update,002601,1.0,1.0
16347,2021-10-26,龙佰集团,update,002601,1.0,1.0
16348,2021-12-16,龙光集团,update,,,
16349,2021-12-16,龙湖集团,update,,,
16351,2021-03-16 00:00:00,龙蟒佰利,update,,,
16352,2021-03-17 00:00:00,龙蟒佰利,update,,,
16350,2021-01-21 00:00:00,龙蟒佰利,update,,,
16353,2021-03-19 00:00:00,龙蟒佰利,update,,,
